artist,query,dma,geo_code,dma_name,n_events_in_dma,soonest_in_dma
Dawes,Dawes,807,US-CA-807,San Francisco-Oakland-San Jose CA,1,2026-06-28
Fortunate Youth,Fortunate Youth,506,US-MA-506,Boston MA-Manchester NH,1,2026-06-28
Hunter Hayes,Hunter Hayes,744,US-HI-744,Honolulu HI,2,2026-06-28
RÜFÜS DU SOL,Rufus Du Sol,501,US-NY-501,New York NY,1,2026-06-28
Shakira,Shakira,524,US-GA-524,Atlanta GA,1,2026-06-28
Sierra Hull,Sierra Hull,652,US-NE-652,Omaha NE,1,2026-06-28
Squirrel Flower,Squirrel Flower,535,US-OH-535,Columbus OH,1,2026-06-28
The Beths,The Beths,535,US-OH-535,Columbus OH,1,2026-06-28
Zedd,Zedd,807,US-CA-807,San Francisco-Oakland-San Jose CA,3,2026-06-28
Narrow Head,Narrow Head,789,US-AZ-789,Tucson (Sierra Vista) AZ,1,2026-06-29
The Psycodelics,The Psycodelics,819,US-WA-819,Seattle-Tacoma WA,1,2026-06-29
Turnover,Turnover,789,US-AZ-789,Tucson (Sierra Vista) AZ,1,2026-06-29
42 Dugg,42 Dugg,613,US-MN-613,Minneapolis-St. Paul MN,1,2026-06-30
A$AP Rocky,ASAP Rocky,819,US-WA-819,Seattle-Tacoma WA,1,2026-06-30
Ariana Grande,Ariana Grande,528,US-FL-528,Miami-Ft. Lauderdale FL,6,2026-06-30
Chris Brown,Chris Brown,613,US-MN-613,Minneapolis-St. Paul MN,1,2026-06-30
Greg Mendez,Greg Mendez,501,US-NY-501,New York NY,1,2026-06-30
RÜFÜS DU SOL,Rufus Du Sol,630,US-AL-630,Birmingham AL,1,2026-06-30
Sydney Rose,Sydney Rose,659,US-TN-659,Nashville TN,1,2026-06-30
USHER,Usher,613,US-MN-613,Minneapolis-St. Paul MN,1,2026-06-30
Molly Tuttle,Molly Tuttle,511,US-DC-511,Washington DC (Hagerstown MD),1,2026-07-01
Narrow Head,Narrow Head,839,US-NV-839,Las Vegas NV,1,2026-07-01
Shakira,Shakira,528,US-FL-528,Miami-Ft. Lauderdale FL,2,2026-07-01
Squirrel Flower,Squirrel Flower,529,US-KY-529,Louisville KY,1,2026-07-01
The Beths,The Beths,529,US-KY-529,Louisville KY,1,2026-07-01
Total Chaos,Total Chaos,505,US-MI-505,Detroit MI,1,2026-07-01
Turnover,Turnover,839,US-NV-839,Las Vegas NV,1,2026-07-01
42 Dugg,42 Dugg,751,US-CO-751,Denver CO,1,2026-07-02
Chris Brown,Chris Brown,505,US-MI-505,Detroit MI,3,2026-07-02
Chris Travis,Chris Travis,770,US-UT-770,Salt Lake City UT,1,2026-07-02
Narrow Head,Narrow Head,803,US-CA-803,Los Angeles CA,3,2026-07-02
Total Chaos,Total Chaos,563,US-MI-563,Grand Rapids-Kalamazoo-Battle Creek MI,1,2026-07-02
Turnover,Turnover,803,US-CA-803,Los Angeles CA,4,2026-07-02
USHER,Usher,505,US-MI-505,Detroit MI,3,2026-07-02
Everclear,Everclear,612,US-LA-612,Shreveport LA,1,2026-07-03
ILLENIUM,Illenium,839,US-NV-839,Las Vegas NV,4,2026-07-03
Lauren Watkins,Lauren Watkins,686,US-AL-686,Mobile AL-Pensacola (Ft. Walton Beach) FL,1,2026-07-03
Low Cut Connie,Low Cut Connie,501,US-NY-501,New York NY,2,2026-07-03
Narrow Head,Narrow Head,862,US-CA-862,Sacramento-Stockton-Modesto CA,1,2026-07-03
Total Chaos,Total Chaos,602,US-IL-602,Chicago IL,2,2026-07-03
Turnover,Turnover,862,US-CA-862,Sacramento-Stockton-Modesto CA,1,2026-07-03
Aaron Rowe,Aaron Rowe,751,US-CO-751,Denver CO,1,2026-07-04
Ed Sheeran,Ed Sheeran,751,US-CO-751,Denver CO,1,2026-07-04
Narrow Head,Narrow Head,807,US-CA-807,San Francisco-Oakland-San Jose CA,1,2026-07-04
Total Chaos,Total Chaos,679,US-IA-679,Des Moines-Ames IA,1,2026-07-04
Turnover,Turnover,807,US-CA-807,San Francisco-Oakland-San Jose CA,1,2026-07-04
deadmau5,Deadmau5,807,US-CA-807,San Francisco-Oakland-San Jose CA,1,2026-07-04
moe.,moe.,532,US-NY-532,Albany-Schenectady-Troy NY,1,2026-07-04
Fisher,Fisher DJ,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,1,2026-07-05
Ariana Grande,Ariana Grande,524,US-GA-524,Atlanta GA,3,2026-07-06
