event_id,n_priced,n_distinct_price,price_first,price_last,price_lo,price_hi,abs_range,rel_range,n_changes,total_abs_variation,is_flat
rZ7HnEZ1AfPzuS,18,2,87.54,28.83,28.83,87.54,58.71000000000001,0.6706648389307746,1,58.71000000000001,False
rZ7HnEZ1AfkofV,11,2,0.0,58.67,0.0,58.67,58.67,,1,58.67,False
rZ7HnEZ1AfFoa0,5,2,87.96,29.77,29.77,87.96,58.19,0.6615507048658481,1,58.19,False
rZ7HnEZ1Afkfqf,13,2,0.0,58.07,0.0,58.07,58.07,,1,58.07,False
rZ7HnEZ1Af0oaK,18,2,0.0,57.88,0.0,57.88,57.88,,1,57.88,False
rZ7HnEZ1AfxpjK,18,2,56.67,0.0,0.0,56.67,56.67,1.0,1,56.67,False
rZ7HnEZ1AfxpjN,18,2,56.67,0.0,0.0,56.67,56.67,1.0,1,56.67,False
rZ7HnEZ1AfxpjS,18,2,56.67,0.0,0.0,56.67,56.67,1.0,1,56.67,False
rZ7HnEZ1Af-Z3K,18,2,0.0,0.0,0.0,56.26,56.26,,2,112.52,False
rZ7HnEZ1AfPSrd,18,2,87.95,32.55,32.55,87.95,55.400000000000006,0.6299033541785105,1,55.400000000000006,False
rZ7HnEZ1AfPeZN,18,2,0.0,55.3,0.0,55.3,55.3,,1,55.3,False
rZ7HnEZ1AfrZod,18,2,55.3,0.0,0.0,55.3,55.3,1.0,1,55.3,False
rZ7HnEZ1AfP9aN,18,2,54.99,0.0,0.0,54.99,54.99,1.0,1,54.99,False
rZ7HnEZ1AfJaoK,14,2,95.05,42.05,42.05,95.05,53.0,0.5576012624934246,1,53.0,False
rZ7HnEZ1Af-t1K,18,2,0.0,52.95,0.0,52.95,52.95,,1,52.95,False
rZ7HnEZ1AfPgPN,18,2,84.05,31.55,31.55,84.05,52.5,0.6246281975014872,1,52.5,False
rZ7HnEZ1AfJv7d,17,2,0.0,52.14,0.0,52.14,52.14,,1,52.14,False
rZ7HnEZ1Afx6ad,18,2,52.14,0.0,0.0,52.14,52.14,1.0,1,52.14,False
rZ7HnEZ1Af7gAV,18,2,0.0,51.43,0.0,51.43,51.43,,1,51.43,False
rZ7HnEZ1AfOpGd,18,2,0.0,0.0,0.0,51.14,51.14,,4,204.56,False
rZ7HnEZ1Afqoad,18,2,51.11,0.0,0.0,51.11,51.11,1.0,1,51.11,False
rZ7HnEZ1Afr_AS,18,3,50.95,48.89,0.0,50.95,50.95,1.0,2,99.84,False
rZ7HnEZ1Af-YZK,6,2,0.0,50.79,0.0,50.79,50.79,,1,50.79,False
rZ7HnEZ1AfPprd,18,2,0.0,50.37,0.0,50.37,50.37,,1,50.37,False
rZ7HnEZ1AfZa37,18,2,50.32,0.0,0.0,50.32,50.32,1.0,1,50.32,False
rZ7HnEZ1AfPouK,18,2,0.0,50.29,0.0,50.29,50.29,,1,50.29,False
rZ7HnEZ1AfkbfV,14,2,0.0,49.95,0.0,49.95,49.95,,1,49.95,False
rZ7HnEZ1AfAA40,18,2,49.2,0.0,0.0,49.2,49.2,1.0,1,49.2,False
rZ7HnEZ1Af-ebd,18,2,49.0,0.0,0.0,49.0,49.0,1.0,1,49.0,False
rZ7HnEZ1Af-_uK,18,2,48.05,0.0,0.0,48.05,48.05,1.0,1,48.05,False
rZ7HnEZ1Af7Fvf,18,2,0.0,47.86,0.0,47.86,47.86,,1,47.86,False
rZ7HnEZ1AfxpxK,18,2,0.0,47.86,0.0,47.86,47.86,,1,47.86,False
rZ7HnEZ1Afx84S,18,2,72.61,25.05,25.05,72.61,47.56,0.6550061974934582,1,47.56,False
rZ7HnEZ1AfPgaN,18,2,0.0,47.17,0.0,47.17,47.17,,1,47.17,False
rZ7HnEZ1AfPUeK,6,2,0.0,47.0,0.0,47.0,47.0,,1,47.0,False
rZ7HnEZ1Af_O8S,18,2,0.0,46.81,0.0,46.81,46.81,,1,46.81,False
rZ7HnEZ1Af-9fS,18,2,0.0,46.39,0.0,46.39,46.39,,1,46.39,False
rZ7HnEZ1Af0a_d,18,2,0.0,46.34,0.0,46.34,46.34,,1,46.34,False
rZ7HnEZ1Af0POS,18,2,0.0,46.32,0.0,46.32,46.32,,1,46.32,False
rZ7HnEZ1Af0PbN,18,2,45.9,0.0,0.0,45.9,45.9,1.0,1,45.9,False
rZ7HnEZ1Afq_Cd,18,2,45.9,45.9,0.0,45.9,45.9,1.0,2,91.8,False
rZ7HnEZ1Afq_GS,18,2,45.9,45.9,0.0,45.9,45.9,1.0,2,91.8,False
rZ7HnEZ1Af-eoK,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEQ7,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEQf,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAE_0,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAE_7,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAE_f,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEb0,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEb7,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEbV,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEj7,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEjV,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEjf,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEq0,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEqV,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEqf,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAEr7,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfAErf,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1Afq8QK,18,3,35.46,0.0,0.0,45.76,45.76,1.290468133107727,2,56.059999999999995,False
rZ7HnEZ1Afq8_K,18,3,35.46,0.0,0.0,45.76,45.76,1.290468133107727,2,56.059999999999995,False
rZ7HnEZ1AfqkFK,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfqkFS,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfqkFd,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1Afqkad,18,2,45.76,0.0,0.0,45.76,45.76,1.0,1,45.76,False
rZ7HnEZ1AfJ6ZK,5,2,0.0,45.71,0.0,45.71,45.71,,1,45.71,False
rZ7HnEZ1AfrKxd,18,2,0.0,45.71,0.0,45.71,45.71,,1,45.71,False
rZ7HnEZ1Af00kd,18,2,0.0,45.35,0.0,45.35,45.35,,1,45.35,False
rZ7HnEZ1Afq84K,18,2,0.0,45.35,0.0,45.35,45.35,,1,45.35,False
rZ7HnEZ1Af--pd,18,2,72.38,27.58,27.58,72.38,44.8,0.6189555125725339,1,44.8,False
rZ7HnEZ1Afr_0K,18,2,0.0,44.55,0.0,44.55,44.55,,1,44.55,False
rZ7HnEZ1AfANCf,18,2,44.05,0.0,0.0,44.05,44.05,1.0,1,44.05,False
rZ7HnEZ1Af0g3K,18,2,0.0,44.0,0.0,44.0,44.0,,1,44.0,False
rZ7HnEZ1AfPIaK,18,2,0.0,43.85,0.0,43.85,43.85,,1,43.85,False
rZ7HnEZ1AfPIfd,18,2,0.0,43.85,0.0,43.85,43.85,,1,43.85,False
rZ7HnEZ1AfPseK,18,2,0.0,43.85,0.0,43.85,43.85,,1,43.85,False
rZ7HnEZ1AfPsvS,18,2,0.0,43.85,0.0,43.85,43.85,,1,43.85,False
rZ7HnEZ1AfOy0K,18,2,0.0,43.66,0.0,43.66,43.66,,1,43.66,False
rZ7HnEZ1Af0YPd,18,2,0.0,43.53,0.0,43.53,43.53,,1,43.53,False
rZ7HnEZ1AfPZaN,18,2,0.0,43.2,0.0,43.2,43.2,,1,43.2,False
rZ7HnEZ1AfFkQ7,6,2,0.0,43.08,0.0,43.08,43.08,,1,43.08,False
rZ7HnEZ1AfFkk7,7,2,42.64,0.0,0.0,42.64,42.64,1.0,1,42.64,False
rZ7HnEZ1Af-bOd,18,2,42.45,0.0,0.0,42.45,42.45,1.0,1,42.45,False
rZ7HnEZ1AfJZjd,13,2,0.0,42.32,0.0,42.32,42.32,,1,42.32,False
rZ7HnEZ1Af0FPd,18,2,0.0,42.15,0.0,42.15,42.15,,1,42.15,False
rZ7HnEZ1Af06xK,18,2,0.0,42.13,0.0,42.13,42.13,,1,42.13,False
rZ7HnEZ1Af-t7K,18,2,0.0,41.85,0.0,41.85,41.85,,1,41.85,False
rZ7HnEZ1AfPzeK,18,2,0.0,41.62,0.0,41.62,41.62,,1,41.62,False
rZ7HnEZ1Afq8Gd,18,3,53.95,82.48,40.96,82.48,41.52,0.7696014828544949,2,54.510000000000005,False
rZ7HnEZ1Afkpkf,14,2,0.0,41.19,0.0,41.19,41.19,,1,41.19,False
rZ7HnEZ1AfPsZK,18,2,0.0,41.16,0.0,41.16,41.16,,1,41.16,False
rZ7HnEZ1AfOguS,18,2,41.05,0.0,0.0,41.05,41.05,1.0,1,41.05,False
rZ7HnEZ1AfxvPN,18,2,41.05,0.0,0.0,41.05,41.05,1.0,1,41.05,False
rZ7HnEZ1AfPoFN,18,2,0.0,40.92,0.0,40.92,40.92,,1,40.92,False
rZ7HnEZ1AfP0aN,18,2,0.0,40.81,0.0,40.81,40.81,,1,40.81,False
rZ7HnEZ1Af00Ad,18,2,0.0,40.3,0.0,40.3,40.3,,1,40.3,False
rZ7HnEZ1Af0y0S,18,2,0.0,40.3,0.0,40.3,40.3,,1,40.3,False
rZ7HnEZ1AfP3AN,18,2,0.0,40.2,0.0,40.2,40.2,,1,40.2,False
rZ7HnEZ1AfP8-S,18,2,0.0,40.2,0.0,40.2,40.2,,1,40.2,False
rZ7HnEZ1AfPo1K,18,2,0.0,40.2,0.0,40.2,40.2,,1,40.2,False
rZ7HnEZ1AfPo8N,18,2,0.0,40.2,0.0,40.2,40.2,,1,40.2,False
rZ7HnEZ1AfPoCd,18,2,0.0,40.2,0.0,40.2,40.2,,1,40.2,False
rZ7HnEZ1AfPofd,18,2,0.0,40.2,0.0,40.2,40.2,,1,40.2,False
rZ7HnEZ1AfPooS,18,2,0.0,40.2,0.0,40.2,40.2,,1,40.2,False
rZ7HnEZ1AfPoud,18,2,0.0,40.2,0.0,40.2,40.2,,1,40.2,False
rZ7HnEZ1Af0EJK,18,2,0.0,39.98,0.0,39.98,39.98,,1,39.98,False
rZ7HnEZ1AfP9bK,18,2,0.0,39.96,0.0,39.96,39.96,,1,39.96,False
rZ7HnEZ1Af-dqd,18,3,34.95,0.0,0.0,39.95,39.95,1.1430615164520743,2,44.95,False
rZ7HnEZ1AfF9af,5,2,0.0,39.95,0.0,39.95,39.95,,1,39.95,False
rZ7HnEZ1AfPb7N,18,2,0.0,39.92,0.0,39.92,39.92,,1,39.92,False
rZ7HnEZ1AfPtjK,18,2,0.0,39.92,0.0,39.92,39.92,,1,39.92,False
rZ7HnEZ1AfPIAS,18,2,0.0,39.85,0.0,39.85,39.85,,1,39.85,False
rZ7HnEZ1AfPduN,18,2,68.97,29.33,29.33,68.97,39.64,0.5747426417282877,1,39.64,False
rZ7HnEZ1Af0FuS,18,2,0.0,39.41,0.0,39.41,39.41,,1,39.41,False
rZ7HnEZ1AfebQf,18,2,0.0,0.0,0.0,39.41,39.41,,2,78.82,False
rZ7HnEZ1Af-9ZS,18,2,0.0,39.22,0.0,39.22,39.22,,1,39.22,False
rZ7HnEZ1AfAVQf,18,2,0.0,39.05,0.0,39.05,39.05,,1,39.05,False
rZ7HnEZ1AfAV_0,18,2,0.0,39.05,0.0,39.05,39.05,,1,39.05,False
rZ7HnEZ1AfJ6OK,14,2,39.05,39.05,0.0,39.05,39.05,1.0,2,78.1,False
rZ7HnEZ1Afb4fd,18,2,38.9,0.0,0.0,38.9,38.9,1.0,1,38.9,False
rZ7HnEZ1Af-N0K,18,2,0.0,38.6,0.0,38.6,38.6,,1,38.6,False
rZ7HnEZ1AfOx1d,18,2,38.53,0.0,0.0,38.53,38.53,1.0,1,38.53,False
rZ7HnEZ1AfOtFN,18,2,0.0,38.52,0.0,38.52,38.52,,1,38.52,False
rZ7HnEZ1AfOF4S,18,2,0.0,38.47,0.0,38.47,38.47,,1,38.47,False
rZ7HnEZ1AfPMxd,18,2,0.0,38.3,0.0,38.3,38.3,,1,38.3,False
rZ7HnEZ1Afkb_f,13,2,0.0,38.18,0.0,38.18,38.18,,1,38.18,False
rZ7HnEZ1AfP3aN,18,2,38.1,0.0,0.0,38.1,38.1,1.0,1,38.1,False
rZ7HnEZ1AfPYaK,18,2,0.0,38.1,0.0,38.1,38.1,,1,38.1,False
rZ7HnEZ1AfPYad,18,2,0.0,38.1,0.0,38.1,38.1,,1,38.1,False
rZ7HnEZ1Af-JuN,18,2,0.0,38.07,0.0,38.07,38.07,,1,38.07,False
rZ7HnEZ1AfqwON,18,2,0.0,38.07,0.0,38.07,38.07,,1,38.07,False
rZ7HnEZ1AfPgGN,18,2,0.0,38.0,0.0,38.0,38.0,,1,38.0,False
rZ7HnEZ1Afkpbf,13,2,0.0,38.0,0.0,38.0,38.0,,1,38.0,False
