dma,dma_name,state,geo_code
673,Columbus-Tupelo-West Point MS,MS,US-MS-673
675,Peoria-Bloomington IL,IL,US-IL-675
676,Duluth MN-Superior WI,MN,US-MN-676
678,Wichita-Hutchinson KS,KS,US-KS-678
679,Des Moines-Ames IA,IA,US-IA-679
682,Davenport IA-Rock Island-Moline IL,IA,US-IA-682
686,Mobile AL-Pensacola (Ft. Walton Beach) FL,AL,US-AL-686
687,Minot-Bismarck-Dickinson(Williston) ND,ND,US-ND-687
691,Huntsville-Decatur (Florence) AL,AL,US-AL-691
692,Beaumont-Port Arthur TX,TX,US-TX-692
693,Little Rock-Pine Bluff AR,AR,US-AR-693
698,Montgomery (Selma) AL,AL,US-AL-698
702,La Crosse-Eau Claire WI,WI,US-WI-702
705,Wausau-Rhinelander WI,WI,US-WI-705
709,Tyler-Longview(Lufkin & Nacogdoches) TX,TX,US-TX-709
710,Hattiesburg-Laurel MS,MS,US-MS-710
711,Meridian MS,MS,US-MS-711
716,Baton Rouge LA,LA,US-LA-716
717,Quincy IL-Hannibal MO-Keokuk IA,IL,US-IL-717
718,Jackson MS,MS,US-MS-718
722,Lincoln & Hastings-Kearney NE,NE,US-NE-722
724,Fargo-Valley City ND,ND,US-ND-724
725,Sioux Falls(Mitchell) SD,SD,US-SD-725
734,Jonesboro AR,AR,US-AR-734
736,Bowling Green KY,KY,US-KY-736
737,Mankato MN,MN,US-MN-737
740,North Platte NE,NE,US-NE-740
743,Anchorage AK,AK,US-AK-743
744,Honolulu HI,HI,US-HI-744
745,Fairbanks AK,AK,US-AK-745
746,Biloxi-Gulfport MS,MS,US-MS-746
747,Juneau AK,AK,US-AK-747
749,Laredo TX,TX,US-TX-749
751,Denver CO,CO,US-CO-751
752,Colorado Springs-Pueblo CO,CO,US-CO-752
753,Phoenix AZ,AZ,US-AZ-753
754,Butte-Bozeman MT,MT,US-MT-754
755,Great Falls MT,MT,US-MT-755
756,"Billings, MT",MT,US-MT-756
757,Boise ID,ID,US-ID-757
758,Idaho Falls-Pocatello ID,ID,US-ID-758
759,Cheyenne WY-Scottsbluff NE,WY,US-WY-759
760,Twin Falls ID,ID,US-ID-760
762,Missoula MT,MT,US-MT-762
764,Rapid City SD,SD,US-SD-764
765,El Paso TX,TX,US-TX-765
766,Helena MT,MT,US-MT-766
767,Casper-Riverton WY,WY,US-WY-767
770,Salt Lake City UT,UT,US-UT-770
771,Yuma AZ-El Centro CA,AZ,US-AZ-771
773,Grand Junction-Montrose CO,CO,US-CO-773
789,Tucson (Sierra Vista) AZ,AZ,US-AZ-789
790,Albuquerque-Santa Fe NM,NM,US-NM-790
798,Glendive MT,MT,US-MT-798
800,Bakersfield CA,CA,US-CA-800
801,Eugene OR,OR,US-OR-801
